Title,Price,Rating,Image,Type
"acer Nitro V 15, Intel core i7-13th Gen 13620H,NVIDIA GeForce RTX - 5050 8GB, 16 GB,512 GB,Full HD IPS,15.6""/39.62 cm,165 Hz, Win 11 Home, Obsidian Black, 2.113 kg, ANV15-52, Amber KB,Gaming Laptop","93,990",3.1 out of 5 stars,https://m.media-amazon.com/images/I/51WgXPBL4nL._AC_UY218_.jpg,Organic
"ASUS Vivobook S14,Smartchoice,AMD Ryzen AI 7 350,16GB RAM,1TB SSD,OLED,14"",Windows 11, Office24,M365 Basic (1Yr)*, Matte Gray,1.4Kg, M3407KA-SF049WS,50 Tops,Metallic Design,Next-Gen AI Laptop,Copilot+","81,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71G3hXXBEWL._AC_UY218_.jpg,Organic
"HP 14, Laptop","90,000",3.6 out of 5 stars,https://m.media-amazon.com/images/I/71+5idlIHgL._AC_UY218_.jpg,Organic
"Lenovo LOQ 13th Gen Intel Core i7-13650HX 15.6"" (39.6cm) 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 4050 6GB/1Yr ADP Free/MSO 24/Grey/2.3Kg), 83DV01A5IN","1,14,744",5.0 out of 5 stars,https://m.media-amazon.com/images/I/71Chav1l8DL._AC_UY218_.jpg,Organic
"acer Professional 14, AMD Ryzen 3-7330U, 8 GB RAM, 512 GB SSD, Full HD 14"", Windows 11 Pro, MSO21, Pro Silver, 1.39 KG, Professional Premium Laptop, Travel Lite","41,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/51xKQHXurwL._AC_UY218_.jpg,Organic
"ASUS TUF A15, AMD Ryzen 7 7445HS, Gaming Laptop(RTX 3050-4GB/75W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/Backlit Keyboard/48Whrs/Win11/MS Office24/Graphite Black/2.3 Kg) FA506NCG-HN200WS","69,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71NNmJ0SE8L._AC_UY218_.jpg,Organic
"acer TravelLite Thin Laptop AMD Ryzen 5 7430U (6-Core) |8GB RAM, 512GB SSD | 14"" Full HD Anti-Glare Display |Privacy Shutter| Windows 11| MS Office | Metal Body | 1.34Kg | Black | 1 Year Warranty","42,999",4.2 out of 5 stars,https://m.media-amazon.com/images/I/51xuTIRBMCL._AC_UY218_.jpg,Organic
"MSI Raider 18, Intel Series 2 Core Ultra 9 285HX, 46cm UHD+ 120Hz Gaming Laptop (64GB/4TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 5090, GDDR7 24GB/Core Black/3.6Kg) A2XWJG-253IN","4,99,990",3.0 out of 5 stars,https://m.media-amazon.com/images/I/71oTMGyCbhL._AC_UY218_.jpg,Organic
"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop","61,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/818iNyzckGL._AC_UY218_.jpg,Ad
"acer Aspire Lite 12th Gen Intel Core i5-12450H, Office 2024 + M365 Basic, 16GB RAM/512GB SSD, 39.62cm(15.6"") FHD IPS Display Win11H, Pure Silver, 1.7KG,AL15-52H, Backlit KB, Thin & Light Laptop","57,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/81qzE9lsXkL._AC_UY218_.jpg,Ad
